0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2151,1028,1992,72,2237,314,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,1058,74,38,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,255,86,2186,1918,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,35,592,203,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,42,151,103,98,139,2099,1111,1479,314,484,1956,417,114,2213,2,31,0,0,0,0,0,0,0,0
316,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,10,20,1291,200,359,1816,1531,656,1138,94,200,125,0,0,0,0,0,0,0,0,0,0,0,0
22,13,7,28,245,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,230,688,2199,1231,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,725,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,3,53,584,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,541,12,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,125,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658,183,10,255,2178,126,113,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,612,31,1294,9,2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,78,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,36,33,64,419,112,2109,160,321,1640,64,1634,0,0,0,0,0,0,0,0,0,0,0,0,0
394,2231,572,2373,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448,38,113,22,10,715,2114,64,1625,1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2161,60,1856,577,20,3,2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,217,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37,48,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1382,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,555,305,329,1204,673,349,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,439,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,20,2,824,1400,722,2215,168,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448,583,441,183,2179,1484,652,135,287,466,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,119,161,346,62,378,3,445,608,1052,1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1146,563,75,9,1147,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2029,504,123,78,208,970,839,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1337,1423,232,72,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,161,69,864,52,2319,1044,3,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,868,19,1764,871,641,33,5,13,653,46,377,468,33,0,0,0,0,0,0,0,0,0,0,0
3,601,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,293,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
752,707,1201,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,207,239,818,17,72,23,733,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,26,1489,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,120,2,858,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,697,6,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,196,493,789,1413,1970,505,2126,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,26,659,2,18,4,281,980,13,659,663,1688,289,0,0,0,0,0,0,0,0,0,0,0,0
419,75,35,1663,296,64,2,75,2,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,273,1988,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2060,969,742,41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1734,405,1589,1947,3,561,1781,1794,997,618,618,2140,358,505,444,699,31,807,0,0,0,0,0,0,0
15,20,77,42,294,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,604,239,22,65,1766,2266,1286,149,25,105,264,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1622,2097,1931,399,42,30,1784,12,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,225,297,426,580,2050,214,780,374,223,47,3,438,340,627,167,0,0,0,0,0,0,0,0,0
164,1636,33,18,34,292,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1394,928,160,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,123,94,1638,146,57,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2303,721,1364,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,26,2,33,341,1192,2226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,185,24,2328,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
692,412,754,2087,53,476,88,518,1125,412,2165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,217,21,57,832,1937,57,1157,866,52,807,662,499,0,0,0,0,0,0,0,0,0,0,0,0
69,1498,84,8,295,22,71,77,18,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,398,36,4,26,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,66,2,1143,1632,1170,719,4,26,123,307,2379,52,854,0,0,0,0,0,0,0,0,0,0,0
151,2,1752,45,2155,10,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,412,465,15,39,73,1513,2330,956,2145,955,190,286,0,0,0,0,0,0,0,0,0,0,0,0
110,163,499,497,875,158,164,312,156,600,229,312,4,1793,14,393,0,0,0,0,0,0,0,0,0
62,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2045,2283,40,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2,721,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,3,1799,1771,1548,1805,7,501,723,340,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,109,151,112,1556,2,76,36,64,1093,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,73,91,2315,2249,2108,1894,706,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,53,69,15,680,85,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,221,53,784,708,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1166,2207,1151,686,435,31,117,530,176,602,1099,760,313,907,416,1647,0,0,0,0,0,0,0,0
307,95,2313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,137,294,241,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16,227,195,262,242,1866,388,801,298,195,230,987,825,1610,385,2195,1070,932,174,0,0,0,0,0
2363,74,446,325,33,271,1944,24,2277,2274,1437,1345,1239,1780,2072,96,17,1068,1768,2234,117,850,1450,1930,256
169,912,216,108,503,2,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,722,252,161,5,284,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,755,31,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,72,3,277,66,194,1189,396,2229,921,1117,1388,2230,160,695,920,52,1158,500,2227,1558,1440,1019,906,2132
36,601,374,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,4,26,1060,135,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,1430,1968,8,918,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,65,813,427,157,168,2324,191,186,2028,272,0,0,0,0,0,0,0,0,0,0,0,0,0
189,171,2361,74,1203,1069,1519,172,11,167,27,1185,95,7,668,334,0,0,0,0,0,0,0,0,0
1602,1601,7,2,15,17,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,4,93,457,326,962,3,18,34,292,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2,10,263,136,580,243,114,683,104,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,2015,44,57,1346,296,1075,57,851,50,1327,1365,5,25,0,0,0,0,0,0,0,0,0,0,0
210,607,2,19,189,19,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
