Date,Hotel Occupancy
2015-07-15,51
2015-07-16,51
2015-07-17,80
2015-07-18,99
2015-07-19,99
2015-07-20,51
2015-07-21,51
2015-07-22,51
2015-07-23,65
2015-07-24,69
2015-07-25,68
2015-07-26,69
2015-07-27,65
2015-07-28,72
2015-07-29,65
2015-07-30,51
2015-07-31,51
2015-08-01,51
2015-08-02,51
2015-08-03,56
2015-08-04,60
2015-08-05,107
2015-08-06,131
2015-08-07,160
2015-08-08,182
2015-08-09,156
2015-08-10,182
2015-08-11,220
2015-08-12,238
2015-08-13,165
2015-08-14,210
2015-08-15,202
2015-08-16,204
2015-08-17,169
2015-08-18,198
2015-08-19,201
2015-08-20,147
2015-08-21,147
2015-08-22,142
2015-08-23,140
2015-08-24,155
2015-08-25,172
2015-08-26,182
2015-08-27,146
2015-08-28,132
2015-08-29,126
2015-08-30,92
2015-08-31,114
2015-09-01,137
2015-09-02,137
2015-09-03,171
2015-09-04,245
2015-09-05,277
2015-09-06,282
2015-09-07,271
2015-09-08,263
2015-09-09,276
2015-09-10,229
2015-09-11,289
2015-09-12,241
2015-09-13,222
2015-09-14,200
2015-09-15,233
2015-09-16,265
2015-09-17,292
2015-09-18,325
2015-09-19,287
2015-09-20,284
2015-09-21,267
2015-09-22,284
2015-09-23,298
2015-09-24,274
2015-09-25,319
2015-09-26,266
2015-09-27,213
2015-09-28,224
2015-09-29,233
2015-09-30,225
2015-10-01,161
2015-10-02,247
2015-10-03,236
2015-10-04,283
2015-10-05,239
2015-10-06,243
2015-10-07,284
2015-10-08,265
2015-10-09,319
2015-10-10,285
2015-10-11,253
2015-10-12,263
2015-10-13,231
2015-10-14,185
2015-10-15,229
2015-10-16,309
2015-10-17,270
2015-10-18,271
2015-10-19,258
2015-10-20,264
2015-10-21,264
2015-10-22,251
2015-10-23,194
2015-10-24,161
2015-10-25,227
2015-10-26,232
2015-10-27,220
2015-10-28,297
2015-10-29,221
2015-10-30,231
2015-10-31,226
2015-11-01,126
2015-11-02,116
2015-11-03,86
2015-11-04,102
2015-11-05,115
2015-11-06,143
2015-11-07,136
2015-11-08,116
2015-11-09,112
2015-11-10,77
2015-11-11,87
2015-11-12,86
2015-11-13,80
2015-11-14,83
2015-11-15,70
2015-11-16,62
2015-11-17,80
2015-11-18,155
2015-11-19,146
2015-11-20,212
2015-11-21,204
2015-11-22,148
2015-11-23,158
2015-11-24,175
2015-11-25,179
2015-11-26,188
2015-11-27,176
2015-11-28,114
2015-11-29,109
2015-11-30,88
2015-12-01,51
2015-12-02,52
2015-12-03,68
2015-12-04,100
2015-12-05,219
2015-12-06,229
2015-12-07,218
2015-12-08,191
2015-12-09,90
2015-12-10,111
2015-12-11,120
2015-12-12,104
2015-12-13,61
2015-12-14,51
2015-12-15,51
2015-12-16,51
2015-12-17,51
2015-12-18,62
2015-12-19,76
2015-12-20,55
2015-12-21,51
2015-12-22,51
2015-12-23,55
2015-12-24,65
2015-12-25,73
2015-12-26,113
2015-12-27,149
2015-12-28,170
2015-12-29,232
2015-12-30,259
2015-12-31,248
2016-01-01,236
2016-01-02,243
2016-01-03,189
2016-01-04,152
2016-01-05,144
2016-01-06,88
2016-01-07,85
2016-01-08,85
2016-01-09,62
2016-01-10,70
2016-01-11,55
2016-01-12,56
2016-01-13,59
2016-01-14,86
2016-01-15,102
2016-01-16,105
2016-01-17,111
2016-01-18,72
2016-01-19,133
2016-01-20,148
2016-01-21,158
2016-01-22,126
2016-01-23,100
2016-01-24,101
2016-01-25,102
2016-01-26,102
2016-01-27,129
2016-01-28,114
2016-01-29,121
2016-01-30,105
2016-01-31,99
2016-02-01,82
2016-02-02,71
2016-02-03,91
2016-02-04,108
2016-02-05,132
2016-02-06,197
2016-02-07,222
2016-02-08,212
2016-02-09,195
2016-02-10,191
2016-02-11,146
2016-02-12,185
2016-02-13,233
2016-02-14,239
2016-02-15,182
2016-02-16,156
2016-02-17,155
2016-02-18,150
2016-02-19,249
2016-02-20,256
2016-02-21,190
2016-02-22,165
2016-02-23,154
2016-02-24,169
2016-02-25,182
2016-02-26,191
2016-02-27,223
2016-02-28,215
2016-02-29,169
2016-03-01,185
2016-03-02,250
2016-03-03,241
2016-03-04,234
2016-03-05,229
2016-03-06,234
2016-03-07,218
2016-03-08,223
2016-03-09,229
2016-03-10,240
2016-03-11,272
2016-03-12,246
2016-03-13,257
2016-03-14,249
2016-03-15,219
2016-03-16,235
2016-03-17,244
2016-03-18,250
2016-03-19,245
2016-03-20,284
2016-03-21,284
2016-03-22,259
2016-03-23,249
2016-03-24,276
2016-03-25,290
2016-03-26,260
2016-03-27,245
2016-03-28,254
2016-03-29,225
2016-03-30,228
2016-03-31,258
2016-04-01,260
2016-04-02,254
2016-04-03,233
2016-04-04,222
2016-04-05,221
2016-04-06,282
2016-04-07,268
2016-04-08,249
2016-04-09,265
2016-04-10,239
2016-04-11,267
2016-04-12,252
2016-04-13,274
2016-04-14,267
2016-04-15,258
2016-04-16,245
2016-04-17,272
2016-04-18,259
2016-04-19,237
2016-04-20,292
2016-04-21,286
2016-04-22,285
2016-04-23,270
2016-04-24,275
2016-04-25,251
2016-04-26,265
2016-04-27,261
2016-04-28,274
2016-04-29,296
2016-04-30,262
2016-05-01,250
2016-05-02,275
2016-05-03,256
2016-05-04,266
2016-05-05,302
2016-05-06,285
2016-05-07,273
2016-05-08,276
2016-05-09,235
2016-05-10,246
2016-05-11,266
2016-05-12,270
2016-05-13,293
2016-05-14,266
2016-05-15,296
2016-05-16,293
2016-05-17,325
2016-05-18,272
2016-05-19,325
2016-05-20,311
2016-05-21,302
2016-05-22,289
2016-05-23,276
2016-05-24,242
2016-05-25,236
2016-05-26,315
2016-05-27,245
2016-05-28,251
2016-05-29,325
2016-05-30,218
2016-05-31,241
2016-06-01,234
2016-06-02,281
2016-06-03,304
2016-06-04,285
2016-06-05,241
2016-06-06,317
2016-06-07,263
2016-06-08,279
2016-06-09,257
2016-06-10,271
2016-06-11,250
2016-06-12,270
2016-06-13,233
2016-06-14,204
2016-06-15,254
2016-06-16,251
2016-06-17,323
2016-06-18,248
2016-06-19,281
2016-06-20,295
2016-06-21,257
2016-06-22,258
2016-06-23,229
2016-06-24,325
2016-06-25,226
2016-06-26,325
2016-06-27,237
2016-06-28,250
2016-06-29,257
2016-06-30,263
2016-07-01,282
2016-07-02,257
2016-07-03,251
2016-07-04,256
2016-07-05,268
2016-07-06,292
2016-07-07,281
2016-07-08,286
2016-07-09,283
2016-07-10,277
2016-07-11,297
2016-07-12,285
2016-07-13,289
2016-07-14,281
2016-07-15,277
2016-07-16,293
2016-07-17,278
2016-07-18,286
2016-07-19,262
2016-07-20,276
2016-07-21,318
2016-07-22,278
2016-07-23,316
2016-07-24,272
2016-07-25,274
2016-07-26,273
2016-07-27,279
2016-07-28,284
2016-07-29,268
2016-07-30,314
2016-07-31,261
2016-08-01,294
2016-08-02,255
2016-08-03,295
2016-08-04,286
2016-08-05,285
2016-08-06,289
2016-08-07,283
2016-08-08,306
2016-08-09,284
2016-08-10,269
2016-08-11,284
2016-08-12,303
2016-08-13,298
2016-08-14,292
2016-08-15,289
2016-08-16,280
2016-08-17,288
2016-08-18,325
2016-08-19,285
2016-08-20,321
2016-08-21,296
2016-08-22,290
2016-08-23,274
2016-08-24,293
2016-08-25,283
2016-08-26,291
2016-08-27,261
2016-08-28,303
2016-08-29,290
2016-08-30,278
2016-08-31,269
2016-09-01,279
2016-09-02,296
2016-09-03,291
2016-09-04,271
2016-09-05,299
2016-09-06,271
2016-09-07,272
2016-09-08,302
2016-09-09,283
2016-09-10,270
2016-09-11,309
2016-09-12,295
2016-09-13,322
2016-09-14,281
2016-09-15,320
2016-09-16,319
2016-09-17,291
2016-09-18,292
2016-09-19,292
2016-09-20,293
2016-09-21,325
2016-09-22,319
2016-09-23,300
2016-09-24,261
2016-09-25,314
2016-09-26,280
2016-09-27,271
2016-09-28,297
2016-09-29,289
2016-09-30,299
2016-10-01,263
2016-10-02,287
2016-10-03,287
2016-10-04,283
2016-10-05,282
2016-10-06,286
2016-10-07,321
2016-10-08,252
2016-10-09,279
2016-10-10,323
2016-10-11,274
2016-10-12,262
2016-10-13,325
2016-10-14,325
2016-10-15,267
2016-10-16,308
2016-10-17,240
2016-10-18,247
2016-10-19,257
2016-10-20,271
2016-10-21,276
2016-10-22,232
2016-10-23,307
2016-10-24,271
2016-10-25,314
2016-10-26,277
2016-10-27,281
2016-10-28,320
2016-10-29,296
2016-10-30,293
2016-10-31,284
2016-11-01,272
2016-11-02,268
2016-11-03,259
2016-11-04,261
2016-11-05,246
2016-11-06,252
2016-11-07,241
2016-11-08,219
2016-11-09,226
2016-11-10,253
2016-11-11,278
2016-11-12,252
2016-11-13,271
2016-11-14,264
2016-11-15,236
2016-11-16,243
2016-11-17,251
2016-11-18,262
2016-11-19,253
2016-11-20,237
2016-11-21,274
2016-11-22,244
2016-11-23,260
2016-11-24,210
2016-11-25,218
2016-11-26,225
2016-11-27,197
2016-11-28,165
2016-11-29,171
2016-11-30,161
2016-12-01,143
2016-12-02,176
2016-12-03,195
2016-12-04,214
2016-12-05,205
2016-12-06,202
2016-12-07,177
2016-12-08,227
2016-12-09,223
2016-12-10,226
2016-12-11,203
2016-12-12,115
2016-12-13,98
2016-12-14,99
2016-12-15,92
2016-12-16,110
2016-12-17,125
2016-12-18,125
2016-12-19,121
2016-12-20,130
2016-12-21,137
2016-12-22,130
2016-12-23,134
2016-12-24,148
2016-12-25,163
2016-12-26,182
2016-12-27,270
2016-12-28,283
2016-12-29,271
2016-12-30,272
2016-12-31,248
2017-01-01,283
2017-01-02,296
2017-01-03,243
2017-01-04,212
2017-01-05,201
2017-01-06,186
2017-01-07,161
2017-01-08,158
2017-01-09,146
2017-01-10,164
2017-01-11,169
2017-01-12,176
2017-01-13,155
2017-01-14,161
2017-01-15,138
2017-01-16,130
2017-01-17,134
2017-01-18,211
2017-01-19,237
2017-01-20,199
2017-01-21,201
2017-01-22,195
2017-01-23,180
