Date,Hotel Occupancy
2015-07-15,212
2015-07-16,223
2015-07-17,231
2015-07-18,210
2015-07-19,215
2015-07-20,223
2015-07-21,206
2015-07-22,200
2015-07-23,210
2015-07-24,225
2015-07-25,219
2015-07-26,214
2015-07-27,214
2015-07-28,202
2015-07-29,203
2015-07-30,218
2015-07-31,224
2015-08-01,223
2015-08-02,217
2015-08-03,219
2015-08-04,208
2015-08-05,203
2015-08-06,200
2015-08-07,210
2015-08-08,215
2015-08-09,224
2015-08-10,227
2015-08-11,210
2015-08-12,200
2015-08-13,207
2015-08-14,213
2015-08-15,228
2015-08-16,232
2015-08-17,223
2015-08-18,206
2015-08-19,201
2015-08-20,210
2015-08-21,211
2015-08-22,223
2015-08-23,219
2015-08-24,214
2015-08-25,204
2015-08-26,204
2015-08-27,206
2015-08-28,222
2015-08-29,228
2015-08-30,220
2015-08-31,192
2015-09-01,208
2015-09-02,214
2015-09-03,228
2015-09-04,216
2015-09-05,206
2015-09-06,225
2015-09-07,218
2015-09-08,200
2015-09-09,209
2015-09-10,213
2015-09-11,214
2015-09-12,230
2015-09-13,208
2015-09-14,216
2015-09-15,202
2015-09-16,233
2015-09-17,229
2015-09-18,207
2015-09-19,233
2015-09-20,204
2015-09-21,233
2015-09-22,197
2015-09-23,218
2015-09-24,211
2015-09-25,212
2015-09-26,208
2015-09-27,209
2015-09-28,217
2015-09-29,208
2015-09-30,226
2015-10-01,223
2015-10-02,210
2015-10-03,218
2015-10-04,210
2015-10-05,205
2015-10-06,220
2015-10-07,213
2015-10-08,223
2015-10-09,218
2015-10-10,218
2015-10-11,220
2015-10-12,239
2015-10-13,189
2015-10-14,171
2015-10-15,226
2015-10-16,195
2015-10-17,186
2015-10-18,223
2015-10-19,240
2015-10-20,178
2015-10-21,211
2015-10-22,212
2015-10-23,218
2015-10-24,204
2015-10-25,174
2015-10-26,148
2015-10-27,137
2015-10-28,137
2015-10-29,130
2015-10-30,127
2015-10-31,149
2015-11-01,141
2015-11-02,106
2015-11-03,125
2015-11-04,128
2015-11-05,128
2015-11-06,139
2015-11-07,172
2015-11-08,170
2015-11-09,166
2015-11-10,167
2015-11-11,178
2015-11-12,193
2015-11-13,192
2015-11-14,187
2015-11-15,178
2015-11-16,101
2015-11-17,109
2015-11-18,141
2015-11-19,146
2015-11-20,161
2015-11-21,206
2015-11-22,192
2015-11-23,120
2015-11-24,129
2015-11-25,101
2015-11-26,98
2015-11-27,112
2015-11-28,121
2015-11-29,100
2015-11-30,75
2015-12-01,85
2015-12-02,103
2015-12-03,115
2015-12-04,108
2015-12-05,167
2015-12-06,176
2015-12-07,171
2015-12-08,143
2015-12-09,75
2015-12-10,80
2015-12-11,75
2015-12-12,75
2015-12-13,75
2015-12-14,75
2015-12-15,75
2015-12-16,75
2015-12-17,75
2015-12-18,75
2015-12-19,76
2015-12-20,75
2015-12-21,75
2015-12-22,106
2015-12-23,117
2015-12-24,136
2015-12-25,147
2015-12-26,167
2015-12-27,176
2015-12-28,165
2015-12-29,147
2015-12-30,199
2015-12-31,201
2016-01-01,189
2016-01-02,212
2016-01-03,172
2016-01-04,102
2016-01-05,100
2016-01-06,90
2016-01-07,92
2016-01-08,89
2016-01-09,81
2016-01-10,83
2016-01-11,87
2016-01-12,98
2016-01-13,102
