Items,Antecedents,Consequents,Support,Confidence,Lift
"['Falcon Dust Off Compressed Gas', 'Apple Lightning to USB cable']",['Apple Lightning to USB cable'],['Falcon Dust Off Compressed Gas'],0.004532728969470737,0.29059829059829057,4.84395061728395
"['iPhone 11 case', 'HP 63XL Ink']",['iPhone 11 case'],['HP 63XL Ink'],0.005865884548726837,0.3728813559322034,4.700811850163794
"['iPhone 11 case', 'Logitech M510 Wireless mouse']",['iPhone 11 case'],['Logitech M510 Wireless mouse'],0.005065991201173177,0.3220338983050847,4.506672147735896
"['Anker 2-in-1 USB Card Reader', 'FEIYOLD Blue light Blocking Glasses']",['Anker 2-in-1 USB Card Reader'],['FEIYOLD Blue light Blocking Glasses'],0.007998933475536596,0.2714932126696833,4.122410097642296
"['SanDisk Ultra 64GB card', 'SanDisk 128GB Ultra microSDXC card', 'VIVO Dual LCD Monitor Desk mount']","['VIVO Dual LCD Monitor Desk mount', 'SanDisk 128GB Ultra microSDXC card']",['SanDisk Ultra 64GB card'],0.006399146780429276,0.3934426229508197,4.004359721511667
"['SanDisk Ultra 64GB card', 'SanDisk 128GB Ultra microSDXC card', 'Dust-Off Compressed Gas 2 pack']","['SanDisk 128GB Ultra microSDXC card', 'Dust-Off Compressed Gas 2 pack']",['SanDisk Ultra 64GB card'],0.006665777896280496,0.39062500000000006,3.975682666214383
"['SanDisk Ultra 64GB card', 'AutoFocus 1080p Webcam']",['AutoFocus 1080p Webcam'],['SanDisk Ultra 64GB card'],0.005332622317024397,0.3773584905660377,3.840659481324083
"['5pack Nylon Braided USB C cables', 'HP 63XL Ink']",['5pack Nylon Braided USB C cables'],['HP 63XL Ink'],0.005732568990801226,0.3006993006993007,3.790832696715049
"['Dust-Off Compressed Gas 2 pack', 'FEIYOLD Blue light Blocking Glasses', '10ft iPHone Charger Cable 2 Pack']","['Dust-Off Compressed Gas 2 pack', '10ft iPHone Charger Cable 2 Pack']",['FEIYOLD Blue light Blocking Glasses'],0.005199306759098787,0.22543352601156072,3.4230301186492245
"['SanDisk Ultra 64GB card', 'Screen Mom Screen Cleaner kit', 'FEIYOLD Blue light Blocking Glasses']","['SanDisk Ultra 64GB card', 'Screen Mom Screen Cleaner kit']",['FEIYOLD Blue light Blocking Glasses'],0.004932675643247567,0.22424242424242427,3.40494417862839
"['VIVO Dual LCD Monitor Desk mount', 'Anker USB C to HDMI Adapter', 'Nylon Braided Lightning to USB cable']","['VIVO Dual LCD Monitor Desk mount', 'Anker USB C to HDMI Adapter']",['Nylon Braided Lightning to USB cable'],0.006665777896280496,0.3184713375796179,3.341053850607991
"['SanDisk Ultra 64GB card', 'SanDisk 128GB Ultra microSDXC card']",['SanDisk 128GB Ultra microSDXC card'],['SanDisk Ultra 64GB card'],0.015997866951073192,0.3234501347708895,3.2919938411349285
"['SAMSUNG EVO 32GB card', 'VIVO Dual LCD Monitor Desk mount', 'SanDisk Ultra 64GB card']","['SAMSUNG EVO 32GB card', 'VIVO Dual LCD Monitor Desk mount']",['SanDisk Ultra 64GB card'],0.005332622317024397,0.3225806451612903,3.283144395325426
"['SanDisk Ultra 64GB card', 'Premium Nylon USB Cable', 'VIVO Dual LCD Monitor Desk mount']","['SanDisk Ultra 64GB card', 'Premium Nylon USB Cable']",['VIVO Dual LCD Monitor Desk mount'],0.004799360085321957,0.5714285714285714,3.2819951870487856
"['Screen Mom Screen Cleaner kit', 'Nylon Braided Lightning to USB cable', 'FEIYOLD Blue light Blocking Glasses']","['Nylon Braided Lightning to USB cable', 'FEIYOLD Blue light Blocking Glasses']",['Screen Mom Screen Cleaner kit'],0.004799360085321957,0.4235294117647058,3.2684095860566447
"['Dust-Off Compressed Gas 2 pack', 'Nylon Braided Lightning to USB cable', 'Logitech M510 Wireless mouse']","['Dust-Off Compressed Gas 2 pack', 'Logitech M510 Wireless mouse']",['Nylon Braided Lightning to USB cable'],0.007199040127982935,0.30508474576271183,3.200616332819722
"['SanDisk Ultra 64GB card', 'VIVO Dual LCD Monitor Desk mount', 'Nylon Braided Lightning to USB cable']","['VIVO Dual LCD Monitor Desk mount', 'Nylon Braided Lightning to USB cable']",['SanDisk Ultra 64GB card'],0.008665511265164644,0.31100478468899523,3.165328208890303
"['VIVO Dual LCD Monitor Desk mount', 'Nylon Braided Lightning to USB cable', 'FEIYOLD Blue light Blocking Glasses']","['VIVO Dual LCD Monitor Desk mount', 'Nylon Braided Lightning to USB cable']",['FEIYOLD Blue light Blocking Glasses'],0.005732568990801226,0.20574162679425836,3.1240241752707125
"['HP 61 ink', 'Logitech M510 Wireless mouse', 'Nylon Braided Lightning to USB cable']","['HP 61 ink', 'Logitech M510 Wireless mouse']",['Nylon Braided Lightning to USB cable'],0.005332622317024397,0.29629629629629634,3.1084175084175087
"['Screen Mom Screen Cleaner kit', 'VIVO Dual LCD Monitor Desk mount', 'FEIYOLD Blue light Blocking Glasses']","['Screen Mom Screen Cleaner kit', 'VIVO Dual LCD Monitor Desk mount']",['FEIYOLD Blue light Blocking Glasses'],0.007199040127982935,0.20300751879699247,3.0825089038385434
"['VIVO Dual LCD Monitor Desk mount', 'Stylus Pen for iPad', 'FEIYOLD Blue light Blocking Glasses']","['VIVO Dual LCD Monitor Desk mount', 'Stylus Pen for iPad']",['FEIYOLD Blue light Blocking Glasses'],0.005065991201173177,0.20105820105820105,3.0529100529100526
"['Screen Mom Screen Cleaner kit', 'VIVO Dual LCD Monitor Desk mount', 'Dust-Off Compressed Gas 2 pack', 'Nylon Braided Lightning to USB cable']","['Screen Mom Screen Cleaner kit', 'VIVO Dual LCD Monitor Desk mount', 'Dust-Off Compressed Gas 2 pack']",['Nylon Braided Lightning to USB cable'],0.004532728969470737,0.28813559322033894,3.0228043143297376
"['VIVO Dual LCD Monitor Desk mount', 'Logitech M510 Wireless mouse', 'Nylon Braided Lightning to USB cable']","['VIVO Dual LCD Monitor Desk mount', 'Nylon Braided Lightning to USB cable']",['Logitech M510 Wireless mouse'],0.005999200106652446,0.21531100478468898,3.0131489680782684
"['SanDisk Ultra 64GB card', 'VIVO Dual LCD Monitor Desk mount', 'Logitech M510 Wireless mouse']","['SanDisk Ultra 64GB card', 'Logitech M510 Wireless mouse']",['VIVO Dual LCD Monitor Desk mount'],0.005999200106652446,0.5232558139534884,3.005315360233627
