Population,Children,Age,Income,Outage_sec_perweek,Tenure,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,Techie_Yes,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,Multiple_Yes,DeviceProtection_Yes,TechSupport_Yes
1491,0,22,29803.77,2.533696725,2.067992783,988.3956919,0,0,1,0,1,0,0,1,0,0,0,0,0
8156,3,62,17495.04,11.71658,55.55389,5104.889837,1,0,0,0,1,0,1,0,1,0,0,0,0
34,0,39,13883.75,8.718083,52.98075,4866.729815,0,1,0,0,1,0,1,0,1,0,1,1,0
1733,0,33,13599.19,7.645128,68.41013,5971.515636,0,0,1,0,1,0,1,0,1,0,1,0,0
1153,0,58,8091.47,12.96581,61.91633,5531.341307,0,1,0,1,0,0,0,1,0,0,0,0,0
1686,0,81,25971.15,14.92648,64.63454,5782.589893,1,0,0,1,0,0,0,1,0,0,0,1,0
2247,0,57,14535.4,15.44802,53.92384,5639.473416,1,0,0,0,1,0,0,1,0,0,1,1,1
191,0,73,87527.27,11.90177,15.22417,1570.995815,0,0,1,0,1,0,0,0,0,1,1,1,1
70,0,29,35989.93,9.230836,52.53037,4636.42318,1,0,0,1,0,0,0,0,1,0,1,0,0
733,4,19,12002.38,13.54895,18.21715,2322.340226,0,1,0,1,0,0,0,1,0,0,0,0,0
681,2,79,21391.25,14.14454,50.01323,4239.183678,0,1,0,1,0,0,1,0,1,0,0,1,0
1212,0,35,21977.29,10.24775,54.28015,5047.950436,0,0,1,1,0,0,0,0,0,1,0,0,1
21939,4,41,24619.98,9.679552,62.5497,5849.697782,0,1,0,0,1,0,0,0,1,0,1,0,0
8834,0,66,26992.77,6.093773,61.99036,5345.910452,1,0,0,0,1,0,0,0,0,1,1,0,0
2709,4,83,37471.31,9.731762,2.464275,1030.224777,1,0,0,0,1,0,0,1,0,0,1,1,1
20008,0,86,27069.07,11.80699,62.51438,4999.844929,0,1,0,1,0,0,0,0,1,0,0,0,0
1084,10,85,39001.57,11.88584,12.00948,1885.394921,1,0,0,1,0,0,0,0,1,0,1,1,1
357,1,38,28822.56,6.572112158,1.992846597,718.7685676,0,0,1,1,0,0,0,1,0,0,1,0,1
4004,0,68,78575.26,9.753085,68.40649,5879.343088,0,0,1,0,1,0,0,0,0,1,1,1,1
6502,1,47,16091.65,8.241378511,5.473564746,736.1743773,0,1,0,0,1,0,0,0,0,1,0,0,0
27361,0,51,86039.43,8.683074501,3.787548072,798.4275185,0,0,1,0,1,0,0,1,0,0,0,0,0
1305,0,63,48167.78,6.733381,4.806626,1162.614265,1,0,0,0,1,0,0,1,0,0,0,1,0
4779,1,72,30299.76,11.01782,69.86769,6271.67502,0,1,0,1,0,0,0,1,0,0,0,1,0
7565,4,88,17400.04,5.274699,61.00152,5482.759209,0,1,0,1,0,0,1,0,1,0,1,1,1
296,8,43,55656.36,14.19303472,1.699850064,900.3977089,1,0,0,0,1,0,0,0,1,0,0,1,0
6749,1,33,86416.45,9.665539,61.76772,5876.740785,0,0,1,1,0,0,0,1,0,0,0,1,0
1307,1,57,55120.82,13.50565,13.05964,1803.766672,0,1,0,1,0,0,1,1,0,0,1,1,0
62,0,61,21558.19,11.5891,69.95421,5848.90356,1,0,0,0,1,0,1,0,0,1,0,0,0
13564,1,26,27692.11,10.39540448,2.728247011,488.2811705,0,0,1,1,0,0,0,0,1,0,0,0,0
57,1,66,81586.06,9.204904,1.482474,822.7908952,1,0,0,0,1,0,0,1,0,0,1,0,0
4447,4,34,51855.3,7.875839,59.36326,5374.093177,0,0,1,1,0,0,0,0,0,1,0,1,0
75635,8,38,29220.86,9.758726,66.59755,5909.817728,0,0,1,0,1,0,0,0,1,0,0,1,1
385,0,58,33109.91,8.727294,2.493434,249.3579815,0,0,1,0,0,1,0,0,1,0,0,0,1
6521,4,61,41312.43,14.6804,63.37746,5565.471399,0,1,0,1,0,0,0,0,0,1,0,0,0
781,1,42,68443.57,9.884995,20.66493,2616.607102,1,0,0,1,0,0,0,1,0,0,0,0,0
2119,0,84,40257.72,9.873164,55.09689,4896.004846,1,0,0,0,1,0,0,0,1,0,1,1,1
390,0,55,25532.76,15.15802,66.21435,5689.932511,1,0,0,1,0,0,0,0,0,1,0,1,1
316,2,70,7172.86,8.239022,71.805,6626.316041,1,0,0,0,1,0,1,1,0,0,1,1,1
484,0,20,50416.27,13.60982,63.11931,5518.35161,0,0,1,0,1,0,0,0,0,1,1,0,1
5025,0,28,27202.17,7.441818,57.2702,4929.50237,0,0,1,1,0,0,0,0,1,0,0,0,0
338,8,50,7585.29,9.074415,11.2075,1977.058574,1,0,0,0,1,0,0,1,0,0,1,1,1
