Population,Children,Age,Income,Outage_sec_perweek,Tenure,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,Techie_Yes,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,Multiple_Yes,DeviceProtection_Yes,TechSupport_Yes
25256,0,47,42429.53,11.43603,61.57078,6175.505483,0,0,1,1,0,0,0,1,0,0,0,1,0
4528,1,41,34754.46,6.304843,66.83137,6140.647609,1,0,0,1,0,0,0,0,1,0,1,0,1
3271,2,49,28833.12,7.720028,61.67482,5773.715899,0,0,1,0,1,0,1,1,0,0,0,0,1
1004,0,80,11414.65,8.060591,6.101406,810.6535635,0,1,0,1,0,0,0,1,0,0,0,0,0
1640,1,32,12894.26,9.712933,37.11912,3208.1605,0,0,1,0,0,1,0,0,0,1,0,1,0
707,1,68,23743.51,10.30211,66.19713,5467.675628,1,0,0,1,0,0,0,0,0,1,1,0,1
1002,0,23,32255.86,10.0547,55.31656,5247.418341,0,1,0,1,0,0,0,0,1,0,0,0,1
2132,5,46,27655.18,5.415772,13.21355,1973.622689,0,1,0,0,1,0,0,1,0,0,1,0,0
4543,4,30,20652.62,10.5114,5.179771,1283.308128,0,0,1,0,1,0,0,0,1,0,1,0,1
19414,4,80,26760.18,3.410169776,5.220501553,684.7417744,0,1,0,1,0,0,0,0,1,0,1,1,1
5651,4,64,32902.71,11.81917,13.02429,1238.315929,0,1,0,1,0,0,1,0,1,0,0,0,1
179,2,47,11047.8,5.414347,2.942683,868.7530886,0,1,0,1,0,0,1,1,0,0,1,0,0
1179,3,55,15872.85,11.70709,5.430488,1045.733553,1,0,0,1,0,0,1,0,0,1,1,0,0
12135,3,29,33280.3,8.904872,62.94907,5386.649919,0,0,1,1,0,0,0,0,1,0,1,0,0
1098,3,35,46120.62,11.33498823,3.508552886,1014.075999,1,0,0,0,1,0,0,0,1,0,0,1,0
2820,1,64,47079.18,13.7331,3.383778,762.0564475,0,0,1,0,1,0,0,0,1,0,0,0,0
2201,6,69,44877.7,7.85726,13.72584,1835.292593,1,0,0,1,0,0,0,1,0,0,0,1,0
1759,1,70,3971.37,9.070611,62.27601,5244.15561,0,1,0,0,1,0,0,0,1,0,0,0,1
1126,9,80,40758.81,11.36204,7.637611,951.5719456,0,1,0,1,0,0,0,0,1,0,1,0,1
17452,3,73,19146.42,10.51064826,4.898445616,1284.667114,0,0,1,1,0,0,0,1,0,0,0,0,0
8538,1,63,58302.74,11.17906,61.91109,6092.04938,1,0,0,1,0,0,0,1,0,0,0,1,1
23761,1,37,69988.77,13.15586,11.61284,1839.162665,1,0,0,1,0,0,0,1,0,0,1,0,1
94,0,33,42506.46,7.041544,2.637164,581.3197743,0,1,0,0,1,0,0,0,1,0,1,0,0
164,5,28,23613.85,14.06427534,10.4843853,1325.529732,0,1,0,1,0,0,0,0,1,0,0,1,0
865,1,28,14959.35,7.954417,6.460792,627.880394,0,1,0,1,0,0,0,0,0,1,0,0,0
10622,2,61,61840.28,10.51096,53.53017,4958.500526,1,0,0,1,0,0,0,0,1,0,0,0,0
1755,1,71,41217.44,9.093249,69.03225,5925.026826,0,0,1,1,0,0,0,0,0,1,1,0,1
18889,2,75,17193.14,7.453585,60.20473,5615.851877,0,0,1,1,0,0,1,1,0,0,0,0,1
4444,3,76,16955.06,8.741713,51.28687,4894.603978,0,1,0,1,0,0,0,0,1,0,1,1,0
1903,0,26,61210.24,12.68725,45.48614,4129.318617,1,0,0,0,1,0,0,0,0,1,0,1,0
7109,0,38,35242.17,9.40677,71.30636,6233.777957,0,1,0,1,0,0,1,0,0,1,0,1,0
3400,3,82,16779.7,12.73028,71.85743,6274.249297,0,0,1,0,1,0,0,0,1,0,1,1,1
1491,3,82,24961.35,13.7486,60.12009,5873.892189,0,1,0,1,0,0,0,1,0,0,0,0,0
779,0,77,42883.22,12.83101,67.86743,5799.405302,1,0,0,0,1,0,0,0,0,1,0,1,1
5107,0,50,32185.18,8.802883,5.638782,932.7790894,0,0,1,0,1,0,0,0,1,0,1,1,0
