Population,Children,Age,Income,Outage_sec_perweek,Yearly_equip_failure,Tenure,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Gender_Female,Gender_Male,Gender_Nonbinary,Techie_Yes,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,Multiple_Yes,DeviceProtection_Yes,TechSupport_Yes
38,0,68,28561.99,7.978322947,1,6.795512947,904.5361102,0,0,1,0,1,0,0,0,1,0,0,0,0
10446,1,27,21704.77,11.69907956,1,1.156680997,800.9827661,0,0,1,1,0,0,1,0,1,0,1,0,0
3735,4,50,9609.57,10.75280028,1,15.75414408,2054.706961,0,0,1,1,0,0,1,1,0,0,1,0,0
13863,1,48,18925.23,14.91353964,0,17.08722662,2164.579412,0,1,0,0,1,0,1,1,0,0,0,0,0
11352,0,83,40074.19,8.147416533,1,1.670971726,271.4934362,0,1,0,0,1,0,0,0,1,0,0,0,1
17701,3,83,22660.2,8.420992898,1,7.000993555,1039.357983,0,0,1,1,0,0,0,0,0,1,1,1,0
2535,0,79,11467.5,11.18272453,1,13.23677381,1907.242972,0,1,0,0,1,0,1,1,0,0,0,0,1
23144,2,30,26759.64,7.791632265,0,4.26425515,979.6127078,0,1,0,1,0,0,1,1,0,0,0,0,0
17351,2,49,58634.51,5.739005915,3,8.220686373,1312.874964,0,1,0,0,0,1,0,1,0,0,0,0,0
20193,1,86,50231.4,8.707823904,0,3.422086139,508.7637913,1,0,0,1,0,0,0,0,1,0,0,1,0
555,7,23,22580.7,9.341631685,2,19.26726194,2728.767869,0,0,1,1,0,0,0,1,0,0,1,0,0
33372,2,56,18342.12,6.68082638,1,10.52199781,1180.588788,1,0,0,1,0,0,0,0,1,0,0,1,0
556,0,83,83671.08,8.273875452,0,13.01149229,1196.388018,1,0,0,0,1,0,0,0,1,0,0,0,0
8165,1,30,64256.81,11.79073041,0,10.06019902,1582.295235,0,0,1,0,1,0,0,1,0,0,1,0,1
2093,3,39,89061.45,10.79846973,0,13.87001293,1840.014467,0,1,0,0,1,0,0,0,0,1,0,0,0
50079,0,63,31659.3,13.52284721,0,15.78214958,2070.376729,0,0,1,1,0,0,0,1,0,0,1,1,0
7249,2,60,44142.81,9.831166695,0,2.303331273,882.0985933,1,0,0,0,1,0,0,0,0,1,0,1,1
9463,3,61,39262.14,9.57470568,0,17.10995632,1833.0967,1,0,0,1,0,0,1,0,0,1,0,1,1
3177,3,23,19494.75,10.92246098,0,12.80615845,1954.080809,1,0,0,0,1,0,0,1,0,0,1,0,0
69,4,38,39624.21,12.06889188,3,20.45390977,2330.319383,1,0,0,0,1,0,0,0,1,0,0,1,0
14440,3,30,45714.47,6.984819996,0,2.415991977,594.1054279,0,1,0,0,1,0,0,0,1,0,0,1,0
381,3,52,27442.03,9.372975594,1,6.652298992,713.0633088,0,0,1,0,1,0,0,0,1,0,0,0,1
2193,2,68,79699.62,7.109002592,0,8.543717478,945.3802928,0,0,1,0,1,0,0,0,1,0,0,0,1
9434,3,75,28520.32,13.74777955,0,5.770390256,870.76398,1,0,0,1,0,0,0,0,0,1,1,1,0
29568,1,77,12558.83,9.767668044,0,4.157658837,774.2937069,0,1,0,0,1,0,0,1,0,0,0,0,0
3089,1,47,8762.23,15.8626095,1,10.40566091,1506.446527,1,0,0,1,0,0,0,0,1,0,0,1,0
5652,0,70,43882.72,14.73616645,0,1.392421597,419.0508708,0,0,1,1,0,0,0,0,0,1,0,1,0
1716,3,20,10482.52,13.43558029,0,1.430386349,1259.415493,0,0,1,1,0,0,1,1,0,0,0,1,0
52484,4,69,33442.79,10.61771118,0,5.425864884,1745.125956,0,1,0,0,1,0,0,1,0,0,1,1,0
11268,9,45,43383.54,6.613070806,0,11.08287797,1795.465729,0,0,1,0,1,0,0,0,1,0,0,0,0
1765,0,40,21793.88,4.450171647,0,3.586184954,492.4771472,1,0,0,1,0,0,0,0,0,1,1,0,1
680,6,82,51960.51,8.774646693,0,4.727388465,1013.993166,1,0,0,1,0,0,0,0,1,0,0,0,0
136,5,74,25942.1,11.13156721,1,20.89923386,2680.762173,1,0,0,0,1,0,0,1,0,0,1,0,0
1517,4,69,11211.59,5.540788887,0,3.471329958,1081.814362,0,0,1,0,1,0,0,0,1,0,1,1,1
14103,1,52,8283.29,13.80362698,1,5.478588204,1209.961168,0,1,0,0,1,0,0,1,0,0,1,0,1
6394,2,26,10114.81,16.31017089,1,3.312991809,897.5919144,0,1,0,1,0,0,0,0,1,0,1,1,1
5059,1,25,36229.21,9.447065309,0,7.161561527,1340.930156,0,0,1,1,0,0,0,1,0,0,1,1,0
20450,1,66,25397.44,16.84100845,0,9.847563364,1113.993679,0,1,0,1,0,0,0,0,1,0,0,0,1
2123,1,72,50336.5,7.972937227,1,16.04202196,1530.10769,0,1,0,0,1,0,0,0,1,0,0,1,0
1164,3,21,38211.37,11.42906608,0,9.179779682,1310.137419,0,0,1,1,0,0,0,0,1,0,0,1,0
23,3,55,52887.26,8.06137096,0,3.002844144,892.8964931,0,1,0,0,1,0,0,1,0,0,0,0,1
895,4,41,12003.33,12.54780492,2,3.924254455,1125.581944,0,1,0,0,1,0,0,0,1,0,1,0,1
6699,4,32,24090.62,8.255565152,0,18.55959629,2016.710031,0,1,0,0,1,0,0,0,1,0,1,0,1
35743,0,22,15137.93,13.156514,0,8.798394712,1412.736809,1,0,0,1,0,0,0,0,1,0,1,0,0
320,2,44,54458.38,10.58349704,0,10.377366,1710.689671,0,0,1,1,0,0,0,0,0,1,1,1,0
861,3,43,37358.13,9.750038902,0,9.427146079,1213.940165,0,1,0,1,0,0,1,0,1,0,1,1,1
15364,1,86,26534.16,7.868660851,2,7.760290062,740.010722,1,0,0,1,0,0,0,0,0,1,0,0,0
2589,2,84,76430.83,12.43563329,1,11.56938439,897.9716153,0,1,0,1,0,0,0,0,0,1,0,0,1
4901,2,62,4662.37,8.957166926,0,3.343811019,1026.387172,0,0,1,1,0,0,0,1,0,0,1,1,1
39649,5,68,43820.85,8.015021713,0,7.338869531,1234.244324,0,0,1,1,0,0,0,0,0,1,0,1,0
456,1,59,38391.55,4.210347704,0,5.486534225,727.3731845,0,1,0,1,0,0,0,0,1,0,0,1,0
94,0,31,44137.6,11.13960534,0,1.55278221,452.8721504,0,0,1,1,0,0,1,0,1,0,1,0,0
315,0,51,14364.65,9.03738856,0,12.07970325,1296.674543,0,0,1,0,1,0,0,0,1,0,1,1,0
4969,1,58,62359.91,10.91594785,1,13.98666226,1840.628269,0,1,0,1,0,0,0,1,0,0,0,1,0
46869,1,73,82634.86,8.387624096,1,9.563362997,1324.330108,0,1,0,0,1,0,0,1,0,0,0,0,0
58431,1,33,15690.25,11.4487514,1,6.732948946,958.1397059,1,0,0,1,0,0,0,0,0,1,0,1,1
26182,1,58,14568.7,10.22013704,0,15.72071086,1868.864027,0,1,0,0,1,0,0,0,0,1,1,0,1
694,0,49,29207.46,8.425458142,0,7.233605493,676.712908,1,0,0,1,0,0,0,0,1,0,0,1,0
3093,1,26,55319.23,8.386280619,0,2.871017037,1086.990308,0,1,0,1,0,0,0,1,0,0,0,0,1
2765,1,25,81831.49,9.565924291,0,2.344875382,704.7540406,0,0,1,0,1,0,0,0,1,0,1,1,1
3757,0,42,100076.65,10.79349982,0,7.960490246,1416.444695,1,0,0,1,0,0,0,1,0,0,0,0,0
4938,1,81,69965.65,6.081975067,0,12.25062113,1095.950634,1,0,0,0,1,0,0,0,0,1,0,1,0
3761,1,43,34883.69,13.55065547,0,9.634946079,1083.610268,0,1,0,1,0,0,1,0,0,1,0,1,0
1851,2,63,45634.2,9.470419821,0,7.916533093,1570.641337,0,0,1,0,1,0,0,1,0,0,1,1,0
38476,3,70,10964.73,6.194985909,1,4.471254161,1007.425553,0,1,0,1,0,0,0,0,1,0,1,1,1
13547,1,78,22365.28,10.80393657,0,10.79028074,1323.028419,0,0,1,0,1,0,0,0,1,0,0,0,0
7801,0,48,52636.6,7.903964267,1,12.24190682,1808.730555,0,0,1,0,1,0,0,1,0,0,1,0,0
17823,1,63,19048.13,11.27443693,1,2.203859443,1120.241472,0,1,0,1,0,0,1,1,0,0,0,1,0
