,Children,Age,Income,MonthlyCharge,Bandwidth_GB_Year,Gender_Male,Gender_Nonbinary,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,StreamingTV_Yes,StreamingMovies_Yes
1,0,68,28561.99,172.455519,904.5361102,1,0,1,1,1,0,1,0,0,1
2,1,27,21704.77,242.632554,800.9827661,0,0,0,1,1,0,1,1,1,1
3,4,50,9609.57,159.947583,2054.706961,0,0,1,0,0,0,1,1,0,1
4,1,48,18925.23,119.95684,2164.579412,1,0,0,0,0,0,1,0,1,0
5,0,83,40074.19,149.948316,271.4934362,1,0,1,0,1,0,0,0,1,0
6,3,83,22660.2,185.007692,1039.357983,0,0,1,0,0,1,1,1,0,1
7,0,79,11467.5,200.118516,1907.242972,1,0,0,0,0,0,1,0,1,1
8,2,30,26759.64,114.950905,979.6127078,0,0,0,0,0,0,0,0,0,0
9,2,49,58634.51,117.468591,1312.874964,0,1,1,0,0,0,1,0,0,0
10,1,86,50231.4,162.482694,508.7637913,0,0,1,0,1,0,1,0,0,1
11,7,23,22580.7,174.958118,2728.767869,0,0,0,0,0,0,1,1,1,0
12,2,56,18342.12,149.962093,1180.588788,0,0,1,0,1,0,1,0,1,0
13,0,83,83671.08,137.439154,1196.388018,1,0,1,0,1,0,1,0,1,0
15,1,30,64256.81,159.965581,1582.295235,1,0,0,0,0,0,0,1,0,0
16,3,39,89061.45,177.65076,1840.014467,1,0,0,0,0,1,1,0,1,1
17,0,63,31659.3,194.966286,2070.376729,0,0,1,0,0,0,1,1,0,1
18,2,60,44142.81,202.682861,882.0985933,1,0,0,0,0,1,1,0,1,1
19,3,61,39262.14,152.490739,1833.0967,0,0,1,0,0,1,1,0,1,0
20,3,23,19494.75,149.944668,1954.080809,1,0,1,0,0,0,1,1,1,0
21,4,38,39624.21,184.978458,2330.319383,1,0,0,0,1,0,1,0,0,1
22,3,30,45714.47,127.495766,594.1054279,1,0,0,1,1,0,1,0,0,0
23,3,52,27442.03,124.964303,713.0633088,1,0,0,0,1,0,1,0,0,0
24,2,68,79699.62,149.948316,945.3802928,1,0,1,0,1,0,1,0,1,0
25,3,75,28520.32,162.511928,870.76398,0,0,0,1,0,1,1,1,0,1
26,1,77,12558.83,92.455141,774.2937069,1,0,0,1,0,0,1,0,0,0
27,1,47,8762.23,222.649979,1506.446527,0,0,1,0,1,0,1,0,1,1
28,0,70,43882.72,139.981577,419.0508708,0,0,1,0,0,1,1,0,1,0
29,3,20,10482.52,200.132293,1259.415493,0,0,0,0,0,0,1,0,1,1
30,4,69,33442.79,257.651257,1745.125956,1,0,0,1,0,0,1,1,1,1
31,9,45,43383.54,230.105118,1795.465729,1,0,1,0,1,0,0,0,1,1
32,0,40,21793.88,147.489301,492.4771472,0,0,0,1,0,1,1,1,0,0
33,6,82,51960.51,230.105118,1013.993166,0,0,1,1,1,0,1,0,1,1
34,5,74,25942.1,174.958118,2680.762173,1,0,0,0,0,0,1,1,1,0
35,4,69,11211.59,267.664655,1081.814362,1,0,1,0,1,0,1,1,1,1
36,1,52,8283.29,162.483267,1209.961168,1,0,1,0,0,0,1,1,0,0
37,2,26,10114.81,229.993134,897.5919144,0,0,1,0,1,0,1,1,0,1
38,1,25,36229.21,140.00128,1340.930156,0,0,1,1,0,0,1,1,0,0
39,1,66,25397.44,184.964681,1113.993679,0,0,1,0,1,0,1,0,0,1
40,1,72,50336.5,147.473844,1530.10769,1,0,1,0,1,0,1,0,0,0
41,3,21,38211.37,172.457857,1310.137419,0,0,0,0,1,0,1,0,1,0
42,3,55,52887.26,107.481989,892.8964931,1,0,1,0,0,0,1,0,0,0
43,4,41,12003.33,255.141716,1125.581944,1,0,1,0,1,0,1,1,1,1
44,4,32,24090.62,192.456745,2016.710031,1,0,1,1,1,0,1,1,0,1
45,0,22,15137.93,242.632554,1412.736809,0,0,1,0,1,0,1,1,1,1
46,2,44,54458.38,245.174977,1710.689671,0,0,1,1,0,1,1,1,1,1
48,3,43,37358.13,195.006206,1213.940165,0,0,0,0,1,0,1,1,0,0
49,1,86,26534.16,104.962874,740.010722,0,0,1,0,0,1,1,0,1,0
50,2,84,76430.83,92.488023,897.9716153,0,0,0,1,0,1,1,0,0,0
51,2,62,4662.37,184.979684,1026.387172,0,0,1,0,0,0,1,1,0,1
52,5,68,43820.85,187.656013,1234.244324,0,0,1,0,0,1,1,0,1,1
53,1,59,38391.55,149.962093,727.3731845,0,0,0,0,1,0,1,0,1,0
54,0,31,44137.6,169.944668,452.8721504,0,0,0,0,1,0,1,1,1,0
55,0,51,14364.65,160.00128,1296.674543,1,0,1,0,1,0,1,1,0,0
56,1,58,62359.91,129.962093,1840.628269,0,0,0,0,0,0,1,0,1,0
57,1,73,82634.86,114.950905,1324.330108,1,0,0,0,0,0,1,0,0,0
58,1,33,15690.25,142.515576,958.1397059,0,0,0,0,0,1,1,0,0,1
59,1,58,14568.7,220.14775,1868.864027,1,0,1,0,0,1,1,1,1,1
60,0,49,29207.46,124.97808,676.712908,0,0,0,0,1,0,1,0,0,0
61,1,26,55319.23,164.964681,1086.990308,0,0,0,1,0,0,1,0,0,1
62,1,25,81831.49,194.976769,704.7540406,1,0,1,0,1,0,1,1,1,0
63,0,42,100076.65,152.455519,1416.444695,0,0,1,0,0,0,1,0,0,1
64,1,81,69965.65,92.5018,1095.950634,1,0,0,1,0,1,1,0,0,0
65,1,43,34883.69,127.488728,1083.610268,0,0,0,1,0,1,1,0,0,1
66,2,63,45634.2,184.963371,1570.641337,1,0,1,0,0,0,1,1,1,0
67,3,70,10964.73,265.146969,1007.425553,0,0,1,0,1,0,1,1,1,1
68,1,78,22365.28,207.609354,1323.028419,1,0,0,0,1,0,1,0,1,1
69,0,48,52636.6,152.462354,1808.730555,1,0,1,1,0,0,1,1,1,0
70,1,63,19048.13,200.132293,1120.241472,0,0,1,0,0,0,1,0,1,1
71,4,60,42784.82,212.655686,2676.789803,0,0,1,1,0,1,1,0,1,1
72,0,87,77996.88,255.119794,1268.086909,1,0,1,0,0,0,1,1,1,1
73,3,54,47507.3,134.950905,822.6771666,0,0,1,0,1,0,1,0,0,0
74,3,35,7724.73,255.137219,1577.915603,1,0,1,0,1,0,1,0,1,1
75,1,70,1509.52,214.966286,648.7471776,1,0,0,0,1,0,1,1,0,1
76,2,67,81124.71,270.160419,1648.102673,0,0,1,1,0,0,1,1,1,1
77,4,46,11795.57,200.165175,768.0874545,0,0,0,0,0,1,0,0,1,1
78,1,50,74794.84,149.937833,2426.030626,1,0,0,0,0,0,1,0,0,1
79,1,24,19038.78,240.114868,2660.503932,0,0,0,1,1,0,1,1,1,1
80,0,20,79167.77,127.495766,1129.549713,1,0,0,1,1,0,1,0,0,0
81,1,29,37428.26,187.609354,1771.286466,0,0,1,0,0,0,1,0,1,1
82,0,31,45148.38,169.992756,943.3391244,1,0,1,0,1,0,1,1,0,0
83,5,72,74855.47,192.456745,1907.226083,0,0,1,0,1,0,1,1,0,1
84,4,71,45323.86,120.004928,1885.939118,1,0,0,1,0,0,1,0,0,0
85,2,32,71596.14,195.006206,631.7435653,0,0,1,0,1,0,1,1,0,0
86,0,33,10389.95,139.95684,562.6095219,1,0,0,0,1,0,1,0,1,0
87,3,67,19657.14,114.983787,593.8572264,1,0,0,0,0,1,1,0,0,0
88,0,66,27827.03,207.638588,777.3060718,0,0,1,0,0,1,1,1,1,1
89,4,21,15609.05,187.609354,1393.202392,0,0,1,0,0,0,1,0,1,1
90,0,61,19815.63,134.950905,393.6524652,0,0,1,1,1,0,1,0,0,0
91,0,75,58482.9,192.470522,409.7486664,0,0,0,0,1,0,1,1,0,1
92,0,63,41656.53,222.628057,2138.107161,0,0,1,1,0,0,0,0,1,1
94,2,32,15841.19,159.979358,2481.385603,1,0,1,0,0,0,1,1,0,0
95,0,76,81127.41,184.979684,2233.567181,1,0,0,1,0,0,1,1,0,1
96,0,29,24270.88,245.145743,1158.91369,0,0,0,0,1,0,1,0,1,1
97,0,83,54466.33,124.97808,529.40733,0,0,0,0,1,0,1,0,0,0
98,10,23,64816.84,187.484705,1956.7337,1,0,0,0,1,0,1,0,1,0
99,5,80,103311.26,162.500692,2056.386979,1,0,0,0,1,0,1,0,0,0
100,0,20,40211.04,182.467607,1067.373076,1,0,0,0,1,0,1,1,1,0
101,0,69,58077.38,222.660939,1806.135733,1,0,0,0,0,1,0,0,1,1
102,1,32,43466.35,182.467607,1397.701335,1,0,0,0,1,0,1,1,1,0
103,0,53,23289.77,220.161527,808.4305471,0,0,0,1,0,1,1,1,1,1
104,2,25,49158.49,169.937833,1886.531937,1,0,0,0,1,0,1,0,0,1
105,0,69,3805.84,204.963371,2294.781131,1,0,1,0,1,0,0,1,1,0
106,3,71,52616.27,204.963371,826.3438621,1,0,0,0,1,0,1,1,1,0
107,3,53,30550.42,245.128318,2072.564168,0,0,0,0,0,0,1,1,1,1
108,2,56,12154.01,172.473314,1436.793746,0,1,0,1,0,1,1,1,1,0
109,0,42,30649.31,172.456745,1963.332683,1,0,1,0,0,0,0,1,0,1
110,3,33,31417.33,194.976769,1324.164906,1,0,0,0,1,0,1,1,1,0
