,Children,Age,Income,Outage_sec_perweek,Yearly_equip_failure,Tenure,MonthlyCharge,Gender_Male,Gender_Nonbinary,Techie_Yes,InternetService_Fiber Optic,InternetService_None,Tablet_Yes,Phone_Yes,TechSupport_Yes
1,0,68,28561.99,7.978322947,1,6.795512947,172.455519,1,0,0,1,0,1,1,0
2,1,27,21704.77,11.69907956,1,1.156680997,242.632554,0,0,1,1,0,1,1,0
3,4,50,9609.57,10.75280028,1,15.75414408,159.947583,0,0,1,0,0,0,1,0
4,1,48,18925.23,14.91353964,0,17.08722662,119.95684,1,0,1,0,0,0,1,0
5,0,83,40074.19,8.147416533,1,1.670971726,149.948316,1,0,0,1,0,0,0,1
6,3,83,22660.2,8.420992898,1,7.000993555,185.007692,0,0,0,0,1,0,1,0
7,0,79,11467.5,11.18272453,1,13.23677381,200.118516,1,0,1,0,0,0,1,1
8,2,30,26759.64,7.791632265,0,4.26425515,114.950905,0,0,1,0,0,0,0,0
9,2,49,58634.51,5.739005915,3,8.220686373,117.468591,0,1,0,0,0,0,1,0
10,1,86,50231.4,8.707823904,0,3.422086139,162.482694,0,0,0,1,0,0,1,0
11,7,23,22580.7,9.341631685,2,19.26726194,174.958118,0,0,0,0,0,0,1,0
12,2,56,18342.12,6.68082638,1,10.52199781,149.962093,0,0,0,1,0,0,1,0
13,0,83,83671.08,8.273875452,0,13.01149229,137.439154,1,0,0,1,0,0,1,0
15,1,30,64256.81,11.79073041,0,10.06019902,159.965581,1,0,0,0,0,0,0,1
16,3,39,89061.45,10.79846973,0,13.87001293,177.65076,1,0,0,0,1,0,1,0
17,0,63,31659.3,13.52284721,0,15.78214958,194.966286,0,0,0,0,0,0,1,0
18,2,60,44142.81,9.831166695,0,2.303331273,202.682861,1,0,0,0,1,0,1,1
19,3,61,39262.14,9.57470568,0,17.10995632,152.490739,0,0,1,0,1,0,1,1
20,3,23,19494.75,10.92246098,0,12.80615845,149.944668,1,0,0,0,0,0,1,0
21,4,38,39624.21,12.06889188,3,20.45390977,184.978458,1,0,0,1,0,0,1,0
22,3,30,45714.47,6.984819996,0,2.415991977,127.495766,1,0,0,1,0,1,1,0
23,3,52,27442.03,9.372975594,1,6.652298992,124.964303,1,0,0,1,0,0,1,1
24,2,68,79699.62,7.109002592,0,8.543717478,149.948316,1,0,0,1,0,0,1,1
25,3,75,28520.32,13.74777955,0,5.770390256,162.511928,0,0,0,0,1,1,1,0
26,1,77,12558.83,9.767668044,0,4.157658837,92.455141,1,0,0,0,0,1,1,0
27,1,47,8762.23,15.8626095,1,10.40566091,222.649979,0,0,0,1,0,0,1,0
28,0,70,43882.72,14.73616645,0,1.392421597,139.981577,0,0,0,0,1,0,1,0
29,3,20,10482.52,13.43558029,0,1.430386349,200.132293,0,0,1,0,0,0,1,0
